idSite;numCodes
0;246
1;117
2;15
3;45
4;91
5;15
6;1
7;8
8;1
9;34
10;65
11;64
12;32
13;13
14;9
15;1
16;13
17;60
18;4
19;5
20;31
21;2
22;71
23;1
24;1
25;3
26;19
27;102
28;8
29;36
30;3
31;5
32;1
33;1
34;124
35;35
36;1
37;17
38;4
39;16
40;11
41;3
42;12
43;7
44;6
45;3
46;4
47;16
48;2
49;2
50;1
51;20
52;3
53;17
54;8
55;1
56;20
57;1
58;2
59;9
60;2
61;7
62;7
63;1
64;1
65;5
66;1
67;2
68;1
69;1
70;5
71;1
72;3
73;7
74;1
75;1
76;10
77;1
78;1
79;1
80;9
81;2
82;1
83;2
84;3
85;1
86;3
87;5
88;3
89;1
90;1
91;1
92;1
93;2
94;1
95;1
96;2
97;2
98;1
99;1
100;1
101;1
102;1
103;3
104;2
105;1
106;4
107;4
108;2
109;1
110;1
111;2
112;3
113;2
114;1
115;1
116;1
117;1
118;1
119;2
120;4
121;4
122;1
123;1
124;2
125;1
126;1
127;4
128;2
129;7
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;2
139;2
140;2
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;1
149;1
150;1
151;1
152;1
153;1
154;1
155;3
156;1
157;1
158;1
159;1
160;1
161;1
162;1
163;1
